film_id,film_rating
"538	","	7"
"539	","	7.7"
"540	","	5.5"
"541	","	6.5"
"542	","	7"
"543	","	6.1"
"544	","	6.1"
"545	","	5"
"546	","	5"
"547	","	7.7"
"548	","	6"
"549	","	6.3"
"550	","	4.9"
"551	","	4.6"
"552	","	7.1"
"553	","	4"
"554	","	7.1"
"555	","	5.1"
"556	","	3.6"
"557	","	5"
"558	","	4.7"
"559	","	7.4"
"560	","	5.7"
"561	","	6.5"
"562	","	7.4"
"563	","	6"
"564	","	5.4"
"565	","	5"
"566	","	7"
"567	","	6.6"
"568	","	3.6"
"569	","	5.6"
"570	","	3"
"571	","	5.5"
"572	","	5.1"
"573	","	5.7"
"574	","	5.4"
"575	","	6.2"
"576	","	6.7"
"577	","	6.2"
"578	","	6.4"
"579	","	5.4"
"580	","	6"
"581	","	0"
"582	","	5.3"
"583	","	6.2"
"584	","	6.1"
"585	","	5.9"
"586	","	4.8"
"587	","	5.2"
"588	","	7"
"589	","	0"
"590	","	6.5"
"591	","	5.7"
"592	","	8"
"593	","	5.5"
"594	","	7.5"
"595	","	8"
"596	","	7.5"
"597	","	0"
"598	","	5.8"
"599	","	6.2"
"600	","	8"
"601	","	4.7"
"602	","	5.5"
"603	","	3.9"
"604	","	5.8"
"605	","	5.1"
"606	","	7.4"
"607	","	5.5"
"608	","	3.3"
"609	","	0"
"610	","	6.8"
"611	","	7.1"
"612	","	5.3"
"613	","	5.3"
"614	","	7.1"
"615	","	5.1"
"616	","	6.2"
"617	","	5.7"
"618	","	6.5"
"619	","	4.9"
"620	","	5.3"
"621	","	6"
"622	","	4.4"
"623	","	7.2"
"624	","	6.7"
"625	","	6.6"
"626	","	5.5"
"627	","	10"
"628	","	0"
"629	","	6.3"
"630	","	5.1"
"631	","	5.6"
"632	",
"633	","	7"
"634	","	7.7"
"635	","	5"
"636	","	5.5"
"637	","	6.9"
"638	","	5.5"
"639	","	6.1"
"640	","	3.9"
"641	","	5.5"
"642	","	4.9"
"643	","	0"
"644	","	7.5"
"645	","	6.6"
